day,transcript_court_reporter
1,Dale Waterman
2,Maxime Roussy
3,Sandrine Martineau-Lupien
4,Sandrine Martineau-Lupien
5,Mitchell Kersys
6,Wendy Clements
7,Wendy Clements
8,Sandrine Martineau-Lupien
9,Wendy Clements
10,Wendy Clements
11,Wendy Clements
12,Wendy Clements
13,Sandrine Martineau-Lupien
14,Wendy Clements
15,Wendy Clements
16,Wendy Clements
17,Sandrine Martineau-Lupien
18,Sandrine Martineau-Lupien
19,Sandrine Martineau-Lupien
20,Maxime Roussy
21,Wendy Clements
22,Mitchell Kersys
23,Mitchell Kersys
24,Wendy Clements
25,Wendy Clements
26,Wendy Clements
27,Sandrine Martineau-Lupien
28,Mitchell Kersys
29,Mitchell Kersys
30,Wendy Clements
31,Sean Prouse
